latitude,longitude,category,name
14.2833798,121.1392741,school,Hossana Christian Academy
14.2774136,121.1232063,pharmacy,Mercury Drug
14.2713802,121.1245404,fire_station,Cabuyao Fire Station
14.2713107,121.1243473,police,Cabuyao City Police
14.2386286,121.1010985,fire_station,LISP Fire Station
14.2712347,121.123245,pharmacy,Mercury Drug
14.2773041,121.1247972,school,Angels in Heaven Schoolsl
14.2696998,121.1264225,community_centre,Casa Esperanza
14.2329802,121.1349168,pharmacy,Mercury Drug
14.2283751,121.1389991,pharmacy,Mercury Drug
14.2328627,121.1353783,clinic,St. Magdalene Polyclinic
14.230613,121.1373185,clinic,Banlic Health Center
14.2652702,121.1443702,school,School of Saint Joseph de Cabuyao (Annex)
14.2564374,121.1280233,pharmacy,Mercury Drug
14.2796926,121.1232107,school,Westbridge
14.2565239,121.1312138,school,Mon Lyn Nihongo Learning Center
14.2396085,121.1468224,school,Saint Isidore Academy of Cabuyao
14.256048,121.1281177,pharmacy,Katapatan Pharmacy
14.2571873,121.1652392,school,Gulod National High School
14.2777575,121.1231385,pharmacy,Generika
14.2370444,121.1335373,school,Westbridge Institute of Technology
14.2583426,121.1655297,school,Gulod Elementary School
14.2672179,121.1422124,hospital,Lying-In
14.277808848939388,121.12682705738032,school,Cabuyao Elementary Special Education Center
14.27704364678131,121.1268173562857,school,Cabuyao Central School
14.170018443704546,121.01947197461276,school,Casile Integrated National High School
14.169480958117747,121.01938708706435,school,Casile Elementary School
14.246438821082435,121.17081709518082,sports_centre,Unknown Facility
14.243984018614762,121.12363039427206,stadium,Cabuyao Coliseum
14.246318528066737,121.12989779735268,townhall,Pulo Barangay Hall
14.24250381856448,121.13222608125321,school,Pulo Elementary School
14.253685551878505,121.13105259140303,school,Banay-Banay Elementary School
14.240746523139947,121.13967356686337,school,San Isidro Elementary School
14.2715500070474,121.12432060599596,townhall,Cabuyao City Hall
14.262913771516308,121.12835142321995,school,Niugan Elementary School
14.265807796242441,121.12782310006443,school,Angels in Heaven School
14.242393969177217,121.13241429737913,school,Unknown Facility
14.231381632990491,121.13667525590512,townhall,Banlic Barangay Hall
14.231550654636758,121.13716434946015,school,Banlic Elementary
14.2438736154492,121.12342108650748,sports_centre,Unknown Facility
14.237089350000002,121.1225363,school,Mary's Angel
14.240393498840895,121.14009339980439,townhall,San Isidro Barangay Hall
14.275242611180738,121.1266724507493,school,Cabuyao Integrated National High School
14.235863400000001,121.10080295,sports_centre,LISP Gym
14.283792918846151,121.13834698294065,school,Jeremiah Montessori School
14.275732877215283,121.12619748664957,hospital,Hospital ng Cabuyao
14.291321680003353,121.12946172159893,school,Bigaa Integrated National High School
14.272197903370172,121.12382382955573,hospital,Holy Rosary of Cabuyao Hospital
14.247143434034582,121.14800253058743,school,Institute for Foundational Learning
14.23204570201645,121.13547193957305,clinic,Our Health Center
14.23338861781951,121.13458853470058,hospital,Global Medical Center of Laguna
14.234521148839214,121.15866592826491,school,Mamatid Elementary School
14.235012172016967,121.15835494650493,school,Liceo de Mamatid
14.242024057705892,121.13224108940025,school,Pulo Senior High School
14.266576094322094,121.12596656477143,hospital,First Cabuyao Hospital and Medical Center
14.269407815443806,121.1252513073102,school,Maranatha Christian Academy
14.2391415003402,121.12543110944316,community_centre,Fortezza Clubhouse
14.2711457,121.12440275,townhall,Sala Barangay Hall
14.263143949999998,121.1425947,townhall,Unknown Facility
14.170357477388318,121.01956914423552,townhall,Casile Barangay Hall
14.291071550942904,121.12841090403802,school,Bigaa Elementary School
14.290403828774298,121.13725995238237,school,Butong Elementary School
14.244759315120262,121.16964923240765,school,Baclaran Elementary School
14.255344744397739,121.12813598791763,school,Agustinian School of Cabuyao
14.249904522920337,121.1294190596157,school,St. Ignatius Technical College of Business and Arts
14.264126374791612,121.12741186589909,townhall,Niugan Barangay Hall
14.163340724799788,121.01932500400676,school,Guinting Elementary School
14.230948934335801,121.0928269357328,school,Diezmo Integrated School
14.231681773611673,121.09164670498883,school,Pittland Elementary School
14.28395202158283,121.13476674675373,school,School of Saint Joseph de Cabuyao
14.236289956840317,121.1518380509987,school,Mamatid National High School 
14.258497198887559,121.1482339487306,hospital,Cabuyao City Hospital
14.26991029012429,121.1434750192761,school,Southville I Elementary School
14.27901710854964,121.14612240747732,school,North Marinig Elementary School
14.270548542100533,121.15754969968901,school,Marinig South Elementary School
14.2578090063292,121.16527065207032,school,Unknown Facility
14.230582949999999,121.09263084999999,townhall,Bahay Pamahalaan ng Barangay Diezmo
14.233270672786889,121.14737110595428,school,Saint Jerome Integrated School of Cabuyao
14.246214805362357,121.13494426271932,school,Pulo National High School
14.273645095372109,121.1509204136143,school,Marinig National High School
14.264102664384954,121.14016800545001,school,Southville I Integrated National High School
14.271475125577421,121.12617859812478,school,Sala Elementary School
